                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    147,                0.71991,                0.78015,                0.95291,                0.74589,                0.73384,                0.77046,                0.39796,                  1.693,                 1.5031,                 1.5455,              0.0005546,              0.0005546,              0.0005546
                    148,                0.68942,                0.72229,                0.95938,                0.74727,                0.76562,                0.79219,                0.41912,                 1.6652,                 1.4206,                 1.5292,              0.0005447,              0.0005447,              0.0005447
                    149,                0.78195,                0.76938,                0.98623,                0.74727,                0.76562,                0.79219,                0.41912,                 1.6652,                 1.4206,                 1.5292,              0.0005348,              0.0005348,              0.0005348
                    150,                0.73601,                0.71315,                0.94217,                0.74718,                0.76562,                 0.7939,                0.41639,                  1.659,                 1.4085,                 1.5111,              0.0005249,              0.0005249,              0.0005249
                    151,                0.86945,                0.80101,                 1.0654,                0.74718,                0.76562,                 0.7939,                0.41639,                  1.659,                 1.4085,                 1.5111,               0.000515,               0.000515,               0.000515
                    152,                0.74007,                 0.7726,                0.96227,                0.77121,                0.79012,                0.79612,                0.40839,                 1.6691,                 1.4097,                 1.4987,              0.0005051,              0.0005051,              0.0005051
                    153,                0.84453,                0.79945,                0.95412,                0.77121,                0.79012,                0.79612,                0.40839,                 1.6691,                 1.4097,                 1.4987,              0.0004952,              0.0004952,              0.0004952
                    154,                0.79272,                0.76966,                 1.0419,                0.76386,                0.71875,                0.76613,                0.40127,                 1.6874,                 1.4142,                 1.4963,              0.0004853,              0.0004853,              0.0004853
                    155,                0.82043,                0.75702,                0.97782,                0.76386,                0.71875,                0.76613,                0.40127,                 1.6874,                 1.4142,                 1.4963,              0.0004754,              0.0004754,              0.0004754
                    156,                0.75732,                0.73905,                0.97214,                0.78689,                0.71875,                0.76909,                0.40631,                 1.6985,                 1.4385,                 1.4882,              0.0004655,              0.0004655,              0.0004655
                    157,                0.73794,                0.74445,                0.99382,                0.78689,                0.71875,                0.76909,                0.40631,                 1.6985,                 1.4385,                 1.4882,              0.0004556,              0.0004556,              0.0004556
                    158,                 0.6756,                0.68925,                 0.8821,                 0.7821,                0.72912,                0.76657,                0.39547,                 1.7367,                 1.4408,                  1.502,              0.0004457,              0.0004457,              0.0004457
                    159,                 0.8078,                 0.7653,                 1.0171,                 0.7821,                0.72912,                0.76657,                0.39547,                 1.7367,                 1.4408,                  1.502,              0.0004358,              0.0004358,              0.0004358
                    160,                0.70574,                0.72106,                0.95715,                0.73449,                   0.75,                0.77021,                0.39058,                 1.7436,                 1.3925,                 1.5296,              0.0004259,              0.0004259,              0.0004259
                    161,                0.68362,                0.69409,                0.94055,                0.73449,                   0.75,                0.77021,                0.39058,                 1.7436,                 1.3925,                 1.5296,               0.000416,               0.000416,               0.000416
                    162,                0.64468,                0.74184,                 0.9126,                0.75919,                   0.75,                0.79339,                0.38597,                 1.7417,                 1.3751,                  1.531,              0.0004061,              0.0004061,              0.0004061
                    163,                0.67976,                0.66734,                 1.0085,                0.75919,                   0.75,                0.79339,                0.38597,                 1.7417,                 1.3751,                  1.531,              0.0003962,              0.0003962,              0.0003962
                    164,                0.74196,                0.72266,                 0.9592,                 0.7396,                0.79885,                0.79811,                0.39278,                 1.7416,                 1.3512,                 1.5222,              0.0003863,              0.0003863,              0.0003863
                    165,                0.67669,                0.69823,                0.96717,                 0.7396,                0.79885,                0.79811,                0.39278,                 1.7416,                 1.3512,                 1.5222,              0.0003764,              0.0003764,              0.0003764
                    166,                0.61149,                0.68863,                 0.8498,                0.75812,                0.78361,                0.78514,                0.41222,                 1.7269,                 1.3222,                 1.5179,              0.0003665,              0.0003665,              0.0003665
                    167,                0.77288,                0.75452,                0.97323,                0.75812,                0.78361,                0.78514,                0.41222,                 1.7269,                 1.3222,                 1.5179,              0.0003566,              0.0003566,              0.0003566
                    168,                0.70855,                0.67665,                0.91497,                0.73823,                0.79321,                0.79102,                0.41022,                 1.7084,                 1.3381,                 1.5101,              0.0003467,              0.0003467,              0.0003467
                    169,                0.74033,                 0.7616,                 1.0209,                0.73823,                0.79321,                0.79102,                0.41022,                 1.7084,                 1.3381,                 1.5101,              0.0003368,              0.0003368,              0.0003368
                    170,                0.65948,                0.63683,                0.90806,                0.74932,                0.74734,                0.76992,                0.40553,                 1.6998,                 1.3522,                 1.5013,              0.0003269,              0.0003269,              0.0003269
                    171,                0.68011,                0.69378,                0.90413,                0.74932,                0.74734,                0.76992,                0.40553,                 1.6998,                 1.3522,                 1.5013,               0.000317,               0.000317,               0.000317
                    172,                0.73144,                 0.6978,                0.92675,                0.76723,                   0.75,                0.77983,                0.41446,                 1.6889,                 1.3511,                 1.4943,              0.0003071,              0.0003071,              0.0003071
                    173,                 0.5712,                0.61486,                0.87366,                0.76723,                   0.75,                0.77983,                0.41446,                 1.6889,                 1.3511,                 1.4943,              0.0002972,              0.0002972,              0.0002972
                    174,                0.69914,                0.69889,                0.95552,                0.74582,                0.73438,                 0.7519,                0.40393,                 1.6876,                 1.3286,                 1.4932,              0.0002873,              0.0002873,              0.0002873
                    175,                0.77064,                0.74871,                0.92952,                0.74582,                0.73438,                 0.7519,                0.40393,                 1.6876,                 1.3286,                 1.4932,              0.0002774,              0.0002774,              0.0002774
                    176,                0.68243,                0.72238,                 1.0119,                0.73137,                0.71875,                0.74445,                0.40482,                 1.6978,                 1.3215,                 1.4941,              0.0002675,              0.0002675,              0.0002675
                    177,                0.79089,                0.74795,                 1.0074,                0.73137,                0.71875,                0.74445,                0.40482,                 1.6978,                 1.3215,                 1.4941,              0.0002576,              0.0002576,              0.0002576
                    178,                0.60136,                0.65284,                0.89524,                0.72478,                0.70312,                0.73048,                0.40261,                 1.6983,                 1.3113,                 1.4942,              0.0002477,              0.0002477,              0.0002477
                    179,                0.66529,                0.67201,                  0.897,                0.72478,                0.70312,                0.73048,                0.40261,                 1.6983,                 1.3113,                 1.4942,              0.0002378,              0.0002378,              0.0002378
                    180,                0.75461,                0.73638,                   0.92,                0.69355,                0.70728,                0.74145,                0.41596,                  1.685,                 1.2911,                  1.488,              0.0002279,              0.0002279,              0.0002279
                    181,                0.70011,                0.69686,                0.94418,                0.69355,                0.70728,                0.74145,                0.41596,                  1.685,                 1.2911,                  1.488,               0.000218,               0.000218,               0.000218
                    182,                0.64845,                 0.6752,                0.89485,                0.69843,                0.73438,                0.75172,                0.42024,                 1.7005,                 1.2823,                 1.4946,              0.0002081,              0.0002081,              0.0002081
                    183,                0.65402,                0.64754,                 0.9219,                0.69843,                0.73438,                0.75172,                0.42024,                 1.7005,                 1.2823,                 1.4946,              0.0001982,              0.0001982,              0.0001982
                    184,                0.69787,                0.68982,                0.93096,                0.69773,                   0.75,                  0.765,                0.42185,                 1.7122,                 1.2886,                  1.496,              0.0001883,              0.0001883,              0.0001883
                    185,                0.64411,                 0.6434,                0.93176,                0.69773,                   0.75,                  0.765,                0.42185,                 1.7122,                 1.2886,                  1.496,              0.0001784,              0.0001784,              0.0001784
                    186,                0.61734,                0.65449,                 0.8922,                0.71276,                 0.7367,                0.76756,                0.42585,                 1.7134,                 1.2988,                 1.4977,              0.0001685,              0.0001685,              0.0001685
                    187,                0.63455,                0.62932,                0.83973,                0.71276,                 0.7367,                0.76756,                0.42585,                 1.7134,                 1.2988,                 1.4977,              0.0001586,              0.0001586,              0.0001586
                    188,                0.67881,                0.70472,                0.91305,                0.72237,                0.73184,                0.76704,                 0.4227,                  1.715,                 1.3106,                 1.4984,              0.0001487,              0.0001487,              0.0001487
                    189,                0.58872,                0.63314,                0.88473,                0.72237,                0.73184,                0.76704,                 0.4227,                  1.715,                 1.3106,                 1.4984,              0.0001388,              0.0001388,              0.0001388
                    190,                0.59056,                0.62325,                0.90548,                0.72093,                0.72661,                0.76763,                0.42259,                 1.7085,                  1.312,                 1.5084,              0.0001289,              0.0001289,              0.0001289
                    191,                0.66136,                0.72618,                0.95811,                0.72093,                0.72661,                0.76763,                0.42259,                 1.7085,                  1.312,                 1.5084,               0.000119,               0.000119,               0.000119
                    192,                0.67543,                0.78642,                 0.9118,                0.72288,                0.73367,                0.76654,                0.42045,                 1.6899,                  1.306,                 1.5054,              0.0001091,              0.0001091,              0.0001091
                    193,                0.63018,                0.78597,                0.92494,                0.72288,                0.73367,                0.76654,                0.42045,                 1.6899,                  1.306,                 1.5054,               9.92e-05,               9.92e-05,               9.92e-05
                    194,                0.62312,                0.78597,                0.86888,                0.66471,                0.77447,                0.76583,                0.42394,                 1.6727,                 1.3087,                 1.4943,               8.93e-05,               8.93e-05,               8.93e-05
                    195,                0.58613,                0.69895,                0.91767,                0.66471,                0.77447,                0.76583,                0.42394,                 1.6727,                 1.3087,                 1.4943,               7.94e-05,               7.94e-05,               7.94e-05
                    196,                0.57506,                0.72227,                0.86915,                0.66434,                 0.7732,                0.76571,                0.42313,                 1.6658,                 1.3127,                 1.4984,               6.95e-05,               6.95e-05,               6.95e-05
                    197,                0.61333,                0.69806,                 0.8996,                0.66434,                 0.7732,                0.76571,                0.42313,                 1.6658,                 1.3127,                 1.4984,               5.96e-05,               5.96e-05,               5.96e-05
                    198,                0.68518,                0.74492,                0.89861,                0.74613,                0.70312,                0.76248,                0.42327,                 1.6676,                   1.32,                 1.5047,               4.97e-05,               4.97e-05,               4.97e-05
                    199,                0.57247,                0.71095,                0.88988,                0.74613,                0.70312,                0.76248,                0.42327,                 1.6676,                   1.32,                 1.5047,               3.98e-05,               3.98e-05,               3.98e-05
                    200,                0.62121,                0.77294,                0.91666,                0.76165,                0.69909,                0.76202,                0.42194,                 1.6712,                 1.3252,                  1.511,               2.99e-05,               2.99e-05,               2.99e-05
