                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0283,                 1.4738,                 1.0384,                      1,                0.09035,                0.31079,                0.16538,                 1.7441,                 3.8233,                 1.4717,              0.0011211,              0.0011211,              0.0011211
                     35,                 1.1406,                  1.818,                 1.1083,                0.75373,                0.04688,                0.34119,                0.19266,                  1.788,                 3.8223,                 1.5218,              0.0011477,              0.0011477,              0.0011477
                     36,                  1.228,                 1.8047,                 1.2178,                0.87327,                0.10786,                0.34388,                 0.1934,                 1.8061,                 3.7218,                  1.558,               0.001174,               0.001174,               0.001174
                     37,                 1.2131,                 1.7177,                  1.146,                0.87327,                0.10786,                0.34388,                 0.1934,                 1.8061,                 3.7218,                  1.558,              0.0011998,              0.0011998,              0.0011998
                     38,                 1.1389,                 1.6046,                 1.1354,                 0.8787,                0.11354,                0.34426,                0.19032,                 1.7761,                 3.6059,                 1.6111,              0.0012253,              0.0012253,              0.0012253
                     39,                 1.1723,                 1.6433,                 1.1277,                0.73427,                0.12981,                0.33787,                0.18281,                 1.7754,                 3.5251,                 1.6349,              0.0012503,              0.0012503,              0.0012503
                     40,                 1.1603,                    1.6,                 1.1081,                0.73427,                0.12981,                0.33787,                0.18281,                 1.7754,                 3.5251,                 1.6349,               0.001275,               0.001275,               0.001275
                     41,                 1.1565,                 1.5981,                 1.1694,                0.78195,                0.16831,                0.33558,                0.18176,                 1.8159,                 3.5698,                 1.6604,              0.0012992,              0.0012992,              0.0012992
                     42,                 1.2159,                 1.5251,                 1.1687,                0.54112,                   0.25,                0.25385,                0.11724,                 1.8759,                   3.63,                 1.7873,              0.0013231,              0.0013231,              0.0013231
                     43,                 1.2459,                 1.4324,                 1.1178,                0.54112,                   0.25,                0.25385,                0.11724,                 1.8759,                   3.63,                 1.7873,              0.0013466,              0.0013466,              0.0013466
                     44,                  1.207,                  1.451,                 1.0874,                0.34973,                0.21875,                 0.1865,                0.08672,                 1.9171,                 3.7136,                 1.9234,              0.0013696,              0.0013696,              0.0013696
                     45,                 1.1424,                 1.5371,                 1.1108,                0.34973,                0.21875,                 0.1865,                0.08672,                 1.9171,                 3.7136,                 1.9234,              0.0013923,              0.0013923,              0.0013923
                     46,                 1.3029,                   1.66,                 1.1617,                0.19417,                0.23438,                0.14692,                 0.0686,                 1.9258,                 3.7027,                 2.0801,              0.0014146,              0.0014146,              0.0014146
